state,code,is_final,restart,look_ahead,return_value,s,e,n,a,o,f,c,q,u,t,i,m,l,\{,",",;,\},"""",>,<,=,!,\(,\),\+,-,\*,/,\., ,\t,\n,0,[1-9],[a-zA-Z0-9],[^a-zA-Z0-9],r,g,p
64,NOT_EQUAL,TRUE,,FALSE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,66,26,26
66,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,67,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
67,,FALSE,,FALSE,,26,26,68,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
68,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,69,26
69,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,26,26,26,70,26,26,26
70,TYPE:STRING,TRUE,,TRUE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,,FALSE,,FALSE,,26,26,26,26,72,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
72,,FALSE,,FALSE,,26,26,26,73,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
73,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,74,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,26,26,26
